Level US,Level FR,Question,Test Answer,Numeric answer,Units 1,Units 2,Units 3
9,Seconde,"A body starts from a point with an initial speed of \( v_0 = 10 \, \mathrm{m/s} \) and a constant acceleration of \( a = 2 \, \mathrm{m/s^2} \). What is the distance traveled after \( t = 5 \, \mathrm{s} \)?","The distance traveled is given by the formula: \[ x = v_0 t + \frac{1}{2} a t^2 \] Substituting the values: \[ x = 10 \cdot 5 + \frac{1}{2} \cdot 2 \cdot 5^2 = 50 + 25 = 75 \, \mathrm{m} \] The distance traveled is therefore \( x = 75 \, \mathrm{m} \).",75,m,,
7,5,"A person walks at a constant speed of \( v = 1.5 \, \mathrm{m/s} \) for \( t = 10 \, \mathrm{s} \). What distance do they cover?","The distance traveled is given by: \[ x = v \cdot t \] Substituting the values: \[ x = 1.5 \cdot 10 = 15 \, \mathrm{m} \] The distance traveled is therefore \( x = 15 \, \mathrm{m} \).",15,m,,
9,2,"An object falls freely from rest. What distance does it cover after \( t = 3 \, \mathrm{s} \), assuming a gravitational acceleration of \( g = 9.8 \, \mathrm{m/s^2} \)?","The distance traveled is given by: \[ x = \frac{1}{2} g t^2 \] Substituting the values: \[ x = \frac{1}{2} \cdot 9.8 \cdot 3^2 = 4.9 \cdot 9 = 44.1 \, \mathrm{m} \] The distance traveled is therefore \( x = 44.1 \, \mathrm{m} \).",44.1,m,,
11,0,"A projectile is launched vertically upward with an initial velocity of \( v_0 = 20 \, \mathrm{m/s} \). What is the maximum height reached by the projectile? Assume \( g = 9.8 \, \mathrm{m/s^2} \).","The maximum height is given by: \[ h = \frac{v_0^2}{2 g} \] Substituting the values: \[ h = \frac{20^2}{2 \cdot 9.8} = \frac{400}{19.6} \approx 20.41 \, \mathrm{m} \] The maximum height reached is therefore \( h \approx 20.41 \, \mathrm{m} \).",20.41,m,,
Undergraduate,L3,"An electron is in a one-dimensional infinite potential well of width \( L = 1 \, \mathrm{nm} \). What is the wavelength associated with the ground state (\( n = 1 \))?","For an infinite potential well, the allowed wavelengths are given by: \[ \lambda_n = \frac{2L}{n} \] For \( n = 1 \), the wavelength is: \[ \lambda_1 = \frac{2 \cdot 1 \, \mathrm{nm}}{1} = 2 \, \mathrm{nm} \] In strict SI units: \[ \lambda_1 = 2 \cdot 10^{-9} \, \mathrm{m} \] The associated wavelength is therefore \( \lambda_1 = 2 \, \mathrm{nm} \) or \( 2 \cdot 10^{-9} \, \mathrm{m} \).",2 * 10^-9,m,m,
Graduate,M1,"Consider a dense star (such as a white dwarf) with a radius of \( R = 5000 \, \mathrm{km} \). What is the Schwarzschild radius (\( R_s \)) associated if the star collapses into a black hole? Use \( G = 6.674 \cdot 10^{-11} \, \mathrm{m^3 \cdot kg^{-1} \cdot s^{-2}} \), \( c = 3.00 \cdot 10^8 \, \mathrm{m/s} \), and a typical stellar mass \( M = 2 \cdot 10^{30} \, \mathrm{kg} \).","The Schwarzschild radius is given by: \[ R_s = \frac{2 G M}{c^2} \] Substituting the values: \[ R_s = \frac{2 \cdot 6.674 \cdot 10^{-11} \cdot 2 \cdot 10^{30}}{(3.00 \cdot 10^8)^2} \] \[ R_s = \frac{2.6696 \cdot 10^{20}}{9 \cdot 10^{16}} \approx 2.966 \cdot 10^3 \, \mathrm{m} \] The Schwarzschild radius is therefore \( R_s \approx 2.97 \, \mathrm{km} \) or \( 2.97 \cdot 10^3 \, \mathrm{m} \).",2.97 * 10^3,m,km,
Grad/Doc,M2/Doc,"An ultra-relativistic neutrino travels with an energy of \( E = 1 \, \mathrm{TeV} \). What is its associated Compton wavelength? (Use \( h = 6.626 \cdot 10^{-34} \, \mathrm{J \cdot s} \) and \( c = 3.00 \cdot 10^8 \, \mathrm{m/s} \)).","The wavelength is given by: \[ \lambda = \frac{h c}{E} \] Converting \( E = 1 \, \mathrm{TeV} \) to joules (\( 1 \, \mathrm{TeV} = 1.602 \cdot 10^{-7} \, \mathrm{J} \)): \[ E = 1.602 \cdot 10^{-7} \, \mathrm{J} \] Substituting: \[ \lambda = \frac{6.626 \cdot 10^{-34} \cdot 3.00 \cdot 10^8}{1.602 \cdot 10^{-7}} \] \[ \lambda \approx 1.24 \cdot 10^{-18} \, \mathrm{m} \] The wavelength is therefore \( \lambda \approx 1.24 \cdot 10^{-18} \, \mathrm{m} \).",1.24 * 10^-18,m,,
10,1,"A car travels at a constant speed of \( v = 60 \, \mathrm{mph} \) for \( t = 2 \, \mathrm{hours} \). How far does it travel?","Distance is given by \[ x = v \cdot t \]. Substituting the values: \[ x = 60 \, \mathrm{mph} \times 2 \, \mathrm{h} = 120 \, \mathrm{miles} \]. The distance traveled is therefore \( x = 120 \, \mathrm{miles} \).",120,miles,,
Undergraduate,L3,"A mass-spring system has \( k = 200 \, \mathrm{N/m} \) and \( m = 0.5 \, \mathrm{kg} \). What is the angular frequency \(\omega\)?","The angular frequency for a mass-spring system is \(\omega = \sqrt{\frac{k}{m}}\). Substituting: \(\omega = \sqrt{\frac{200}{0.5}} = \sqrt{400} = 20 \, \mathrm{rad/s}\).",20,rad/s,,
7,5,"A marathon length is a\approximately \(26.2 \, \mathrm{miles}\). Convert this distance into kilometers, given \(1 \, \mathrm{mile} \approx 1.609 \, \mathrm{km}\).","Converting: \[ 26.2 \, \mathrm{miles} \times 1.609 \, \mathrm{km/mile} \approx 42.16 \, \mathrm{km} \]. The distance is therefore \( 42.16 \, \mathrm{km} \).",42.16,km,,
